observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_state_name,species_guess,common_name,taxon_family_name,taxon_genus_name,scientific_name,iconic_taxon_name,taxon_id,id
20150916,41.29726407,-75.6261768,2015-09-16 15:33:53 UTC,Eastern Time (US & Canada),,132572,jbwitten,2015-09-17 12:58:11 UTC,2017-11-25 15:13:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1954707,https://static.inaturalist.org/photos/2396122/medium.jpg?1442512279,,Spring Brook Crk. Day's first fish.,FALSE,1,0,FALSE,2,"Lackawanna County, US-PA, US",8,,FALSE,gps,gps,,Pennsylvania,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,1954707
20150916,41.30035791,-75.63392803,2015-09-16 16:12:40 UTC,Eastern Time (US & Canada),FALSE,132572,jbwitten,2015-09-17 12:57:47 UTC,2017-11-09 21:22:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1954708,https://static.inaturalist.org/photos/2396129/medium.jpg?1442512439,,Spring Brook Crk,FALSE,1,0,FALSE,2,"Lackawanna County, US-PA, US",8,,FALSE,gps,gps,,Pennsylvania,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1954708
20150916,41.29924246,-75.63077415,2015-09-16 16:31:55 UTC,Eastern Time (US & Canada),FALSE,132572,jbwitten,2015-09-17 12:58:12 UTC,2017-11-09 21:22:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1954709,https://static.inaturalist.org/photos/2404583/medium.?1442687669,,,FALSE,1,0,FALSE,2,"Lackawanna County, US-PA, US",8,,FALSE,gps,gps,,Pennsylvania,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1954709
20150916,41.29922609,-75.63104094,2015-09-16 17:07:06 UTC,Eastern Time (US & Canada),FALSE,132572,jbwitten,2015-09-17 12:57:49 UTC,2017-11-09 21:22:28 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1954710,https://static.inaturalist.org/photos/2396124/medium.jpg?1442512338,,,FALSE,2,0,FALSE,2,"Lackawanna County, US-PA, US",8,,FALSE,gps,gps,,Pennsylvania,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1954710
20150813,43.72733813,-122.5374734,2015-08-13 19:21:03 UTC,Pacific Time (US & Canada),FALSE,122243,ksmithtu,2015-09-17 23:01:32 UTC,2017-04-05 22:48:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1956369,https://static.inaturalist.org/photos/2397452/medium.jpg?1442530903,,,FALSE,1,0,FALSE,3,"Lane County, US-OR, US",1142,obscured,TRUE,,,,Oregon,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,1956369
20150916,41.939254,-75.279479,,Eastern Time (US & Canada),TRUE,4784,jerry2000,2015-09-18 21:34:06 UTC,2017-04-05 22:48:49 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1959224,https://static.inaturalist.org/photos/2400959/medium.JPG?1442612078,,"8 or 9 inches long. Took a dry fly in shallow, fast water.",FALSE,1,0,FALSE,,,197,,FALSE,,,,New York,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,1959224
20150916,41.932231,-75.277044,,Eastern Time (US & Canada),TRUE,4784,jerry2000,2015-09-18 21:36:51 UTC,2017-04-05 22:48:49 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1959233,https://static.inaturalist.org/photos/2400980/medium.JPG?1442612240,,"Took a foam ant in fast water, top of riffles. 8 or 9 inches long. ",FALSE,1,0,FALSE,,,,,FALSE,,,,New York,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,1959233
20150917,41.306018,-75.613547,2015-09-17 13:48:03 UTC,Eastern Time (US & Canada),FALSE,134370,lagness,2015-09-19 12:25:48 UTC,2017-11-09 21:22:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1961705,https://static.inaturalist.org/photos/2403599/medium.jpg?1442665553,,This was a net full!,FALSE,1,0,FALSE,3,"57–85 Hickory Ln, Spring Brook, PA, US",2809,,FALSE,,,,Pennsylvania,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1961705
20150917,41.305059,-75.626623,2015-09-17 13:48:21 UTC,Eastern Time (US & Canada),FALSE,134370,lagness,2015-09-19 12:25:26 UTC,2017-11-09 21:22:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1961706,https://static.inaturalist.org/photos/2403600/medium.jpg?1442665558,,Little guy!,FALSE,1,0,FALSE,3,"29 Short Dr, Spring Brook, PA, US",1329,,FALSE,,,,Pennsylvania,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1961706
20150917,41.310086,-75.610286,2015-09-17 13:48:40 UTC,Eastern Time (US & Canada),FALSE,134370,lagness,2015-09-19 12:25:31 UTC,2017-11-09 21:22:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1961707,https://static.inaturalist.org/photos/2403601/medium.jpg?1442665554,,Very healthy ,FALSE,1,0,FALSE,3,"83 Bowens Rd, Spring Brook, PA, US",1362,,FALSE,,,,Pennsylvania,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,1961707
